url,category,lang
https://ko.wikipedia.org/wiki/2025%EB%85%84_%EC%9D%98%EC%84%B1-%EC%95%88%EB%8F%99_%EC%82%B0%EB%B6%88,korea,ko
https://ko.wikipedia.org/wiki/2026%EB%85%84_%EC%9D%98%EC%84%B1_%EC%82%B0%EB%B6%88,korea,ko
https://ko.wikipedia.org/wiki/%EA%B0%95%EC%9B%90%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EB%8F%84%EB%8F%99%ED%95%B4%EC%95%88%EC%82%B0%EB%B6%88%EB%B0%A9%EC%A7%80%EC%84%BC%ED%84%B0,korea,ko
https://ko.wikipedia.org/wiki/%ED%99%94%EC%99%95%EC%82%B0_%EC%96%B5%EC%83%88%ED%83%9C%EC%9A%B0%EA%B8%B0,korea,ko
https://ko.wikipedia.org/wiki/%EC%8B%A4%EB%A1%9C%EC%95%94_%EC%9A%94%EC%96%91%EC%9B%90_%EC%82%B0%EC%82%AC%ED%83%9C,korea,ko
https://ko.wikipedia.org/wiki/%EC%B4%88%EC%95%88%EC%82%B0_%EC%82%B0%EC%82%AC%ED%83%9C,korea,ko
https://ko.wikipedia.org/wiki/2011%EB%85%84_%EC%B6%98%EC%B2%9C_%EC%82%B0%EC%82%AC%ED%83%9C,korea,ko
https://ko.wikipedia.org/wiki/2009%EB%85%84_%EC%9C%A0%EC%97%94_%EA%B8%B0%ED%9B%84_%EB%B3%80%ED%99%94_%ED%9A%8C%EC%9D%98,international,ko
https://ko.wikipedia.org/wiki/2012%EB%85%84_%EC%9C%A0%EC%97%94_%EA%B8%B0%ED%9B%84_%EB%B3%80%ED%99%94_%ED%9A%8C%EC%9D%98,international,ko
https://ko.wikipedia.org/wiki/2013%EB%85%84_%EC%9C%A0%EC%97%94_%EA%B8%B0%ED%9B%84_%EB%B3%80%ED%99%94_%ED%9A%8C%EC%9D%98,international,ko
https://ko.wikipedia.org/wiki/2015%EB%85%84_%EC%9C%A0%EC%97%94_%EA%B8%B0%ED%9B%84_%EB%B3%80%ED%99%94_%ED%9A%8C%EC%9D%98,international,ko
https://ko.wikipedia.org/wiki/2022%EB%85%84_%EC%9C%A0%EC%97%94_%EA%B8%B0%ED%9B%84%EB%B3%80%ED%99%94_%ED%9A%8C%EC%9D%98,international,ko
https://ko.wikipedia.org/wiki/%EC%9C%A0%EC%97%94%EA%B8%B0%ED%9B%84%EB%B3%80%ED%99%94%ED%98%91%EC%95%BD_%EB%8B%B9%EC%82%AC%EA%B5%AD%EC%B4%9D%ED%9A%8C,international,ko
https://en.wikipedia.org/wiki/1995_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/1996_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/1997_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/1998_United_Nations_Climate_Change_Conference,international,en
https://en.wikipedia.org/wiki/1999_United_Nations_Climate_Change_Conference,international,en
